genus	id	trg	og	n	ortho	gamma
Honey bees	GB46740	Insecta	INS005289	2	Bimp04626	0.483431414
Bumblebees	Bimp09166	Insecta	INS005294	2	GB42159	1.088340323
Honey bees	GB42159	Insecta	INS005294	2	Bimp09166	-0.317610747
Bumblebees	Bimp12852	Insecta	INS005295	2	GB53147	0.094113894
Honey bees	GB53147	Insecta	INS005295	2	Bimp12852	0.622892717
Bumblebees	Bimp01362	Insecta	INS005298	2	GB45345	0.427704655
Honey bees	GB45345	Insecta	INS005298	2	Bimp01362	-0.786544802
Bumblebees	Bimp03740	Insecta	INS005300	2	GB44882	0.222099845
Honey bees	GB44882	Insecta	INS005300	2	Bimp03740	0.359553302
Bumblebees	Bimp00141	Insecta	INS005303	2	GB43293	0.572271097
Honey bees	GB43293	Insecta	INS005303	2	Bimp00141	0.161017592
Bumblebees	Bimp12678	Insecta	INS005310	2	GB47876	-0.177845017
Honey bees	GB47876	Insecta	INS005310	2	Bimp12678	-0.123665261
Bumblebees	Bimp13301	Insecta	INS005311	2	GB54313	0.895998524
Honey bees	GB54313	Insecta	INS005311	2	Bimp13301	-0.083638085
Bumblebees	Bimp12177	Insecta	INS005318	2	GB41211	0.2510712
Honey bees	GB41211	Insecta	INS005318	2	Bimp12177	-0.09476417
Bumblebees	Bimp06355	Insecta	INS005320	2	GB40796	0.209430519
Honey bees	GB40796	Insecta	INS005320	2	Bimp06355	-0.642617003
Bumblebees	Bimp13482	Insecta	INS005322	2	GB50812	1.098543675
Honey bees	GB50812	Insecta	INS005322	2	Bimp13482	-0.531433122
Bumblebees	Bimp04141	Insecta	INS005330	2	GB40592	0.635299543
Honey bees	GB40592	Insecta	INS005330	2	Bimp04141	0.667649204
Bumblebees	Bimp11817	Insecta	INS005331	2	GB50344	0.241343288
Honey bees	GB50344	Insecta	INS005331	2	Bimp11817	-0.495745416
Bumblebees	Bimp09258	Insecta	INS005334	2	GB49037	0.221387703
Honey bees	GB49037	Insecta	INS005334	2	Bimp09258	-0.063139067
Bumblebees	Bimp03259	Insecta	INS005336	2	GB50526	1.729855617
Honey bees	GB50526	Insecta	INS005336	2	Bimp03259	0.518009539
Bumblebees	Bimp12869	Hymenoptera	INS005340	2	GB46338	0.113550764
Honey bees	GB46338	Hymenoptera	INS005340	2	Bimp12869	0.546876777
Bumblebees	Bimp05662	Insecta	INS005342	2	GB43104	0.443796478
Honey bees	GB43104	Insecta	INS005342	2	Bimp05662	-0.07290599
Bumblebees	Bimp08207	Insecta	INS005347	2	GB45498	-0.121637664
Honey bees	GB45498	Insecta	INS005347	2	Bimp08207	1.130265834
Bumblebees	Bimp11619	Insecta	INS005353	2	GB45882	0.811225888
Honey bees	GB45882	Insecta	INS005353	2	Bimp11619	0.737200408
Bumblebees	Bimp00469	Insecta	INS005356	2	GB46069	1.431441035
Honey bees	GB46069	Insecta	INS005356	2	Bimp00469	-0.074197764
Bumblebees	Bimp03381	Insecta	INS005358	2	GB47007	0.298306567
Honey bees	GB47007	Insecta	INS005358	2	Bimp03381	0.214567111
Bumblebees	Bimp07835	Insecta	INS005361	2	GB44781	0.098525593
Honey bees	GB44781	Insecta	INS005361	2	Bimp07835	-0.248170497
Bumblebees	Bimp13566	Insecta	INS005363	2	GB48976	0.499582656
Honey bees	GB48976	Insecta	INS005363	2	Bimp13566	0.820829052
Bumblebees	Bimp13175	Insecta	INS005364	2	GB42515	0.758523381
Honey bees	GB42515	Insecta	INS005364	2	Bimp13175	-0.428005919
Bumblebees	Bimp02303	Insecta	INS005366	2	GB51518	0.409782031
Honey bees	GB51518	Insecta	INS005366	2	Bimp02303	0.188875623
Bumblebees	Bimp04168	Insecta	INS005367	2	GB54606	0.8914351
Honey bees	GB54606	Insecta	INS005367	2	Bimp04168	0.45331053
Bumblebees	Bimp08298	Hymenoptera	INS005368	2	GB55278	0.568212251
Honey bees	GB55278	Hymenoptera	INS005368	2	Bimp08298	-0.134075177
Bumblebees	Bimp05285	Insecta	INS005378	2	GB40466	0.22586342
Honey bees	GB40466	Insecta	INS005378	2	Bimp05285	-0.206851776
Bumblebees	Bimp04615	Hymenoptera	INS005379	2	GB46729	0.853813765
Honey bees	GB46729	Hymenoptera	INS005379	2	Bimp04615	1.943208697
Bumblebees	Bimp02378	Insecta	INS005383	2	GB40977	0.695215138
Honey bees	GB40977	Insecta	INS005383	2	Bimp02378	0.022818762
Bumblebees	Bimp07481	Insecta	INS005384	2	GB45736	0.072158047
Honey bees	GB45736	Insecta	INS005384	2	Bimp07481	-0.069472175
Bumblebees	Bimp11974	Insecta	INS005386	2	GB41840	0.469111694
Honey bees	GB41840	Insecta	INS005386	2	Bimp11974	-0.736782739
Bumblebees	Bimp10137	Insecta	INS005390	2	GB47846	0.558726197
Honey bees	GB47846	Insecta	INS005390	2	Bimp10137	-0.65478933
Bumblebees	Bimp01016	Insecta	INS005397	2	GB51751	0.094035834
Honey bees	GB51751	Insecta	INS005397	2	Bimp01016	1.282512342
Bumblebees	Bimp12850	Insecta	INS005402	2	GB53143	0.404006277
Honey bees	GB53143	Insecta	INS005402	2	Bimp12850	-0.269404416
Bumblebees	Bimp14100	Insecta	INS005404	2	GB50442	-0.160984535
Honey bees	GB50442	Insecta	INS005404	2	Bimp14100	0.515437644
Bumblebees	Bimp08850	Insecta	INS005408	2	GB52314	0.016506293
Honey bees	GB52314	Insecta	INS005408	2	Bimp08850	-0.39620488
Bumblebees	Bimp04854	Insecta	INS005410	2	GB42668	-0.125649818
Honey bees	GB42669	Insecta	INS005410	2	Bimp04854	0.07608779
Bumblebees	Bimp11695	Insecta	INS005411	2	GB49426	0.611525007
Honey bees	GB49426	Insecta	INS005411	2	Bimp11695	-0.267372219
Bumblebees	Bimp14028	Insecta	INS005415	2	GB44757	0.040427515
Honey bees	GB44757	Insecta	INS005415	2	Bimp14028	-0.56378081
Bumblebees	Bimp01868	Insecta	INS005417	2	GB49152	0.265223706
Honey bees	GB49152	Insecta	INS005417	2	Bimp01868	0.471627018
Bumblebees	Bimp04097	Insecta	INS005422	2	GB43113	0.761026652
Honey bees	GB43113	Insecta	INS005422	2	Bimp04097	0.209827631
Bumblebees	Bimp08846	Insecta	INS005429	2	GB52282	-0.044800952
Honey bees	GB52282	Insecta	INS005429	2	Bimp08846	-0.139090542
Bumblebees	Bimp08279	Insecta	INS005431	2	GB47450	1.146780615
Honey bees	GB47450	Insecta	INS005431	2	Bimp08279	-0.026956901
Bumblebees	Bimp07573	Insecta	INS005433	2	GB46686	0.644654171
Honey bees	GB46686	Insecta	INS005433	2	Bimp07573	0.161008872
Bumblebees	Bimp06761	Insecta	INS005436	2	GB43441	0.254586662
Honey bees	GB43441	Insecta	INS005436	2	Bimp06761	-0.349456698
Bumblebees	Bimp02083	Insecta	INS005438	2	GB41829	1.117734656
Honey bees	GB41829	Insecta	INS005438	2	Bimp02083	-0.189403311
Bumblebees	Bimp12081	Hymenoptera	INS005440	2	GB46410	0.391392054
Honey bees	GB46410	Hymenoptera	INS005440	2	Bimp12081	0.509850079
Bumblebees	Bimp13338	Insecta	INS005443	2	GB50683	0.826592517
Honey bees	GB50683	Insecta	INS005443	2	Bimp13338	0.519514538
Bumblebees	Bimp03012	Insecta	INS005445	2	GB45128	0.790070277
Honey bees	GB45128	Insecta	INS005445	2	Bimp03012	1.034917786
Bumblebees	Bimp06003	Insecta	INS005450	2	GB48707	0.333288248
Honey bees	GB48707	Insecta	INS005450	2	Bimp06003	-0.461713865
Bumblebees	Bimp13728	Insecta	INS005456	2	GB55006	0.535186664
Honey bees	GB55006	Insecta	INS005456	2	Bimp13728	0.432196471
Bumblebees	Bimp02405	Insecta	INS005459	2	GB44086	0.476138943
Honey bees	GB44086	Insecta	INS005459	2	Bimp02405	0.499200332
Bumblebees	Bimp11479	Insecta	INS005460	2	GB51615	1.144320139
Honey bees	GB51615	Insecta	INS005460	2	Bimp11479	0.195914244
Bumblebees	Bimp00984	Hymenoptera	INS005461	2	GB53728	1.104174269
Honey bees	GB53728	Hymenoptera	INS005461	2	Bimp00984	0.436509335
Bumblebees	Bimp10042	Insecta	INS005463	2	GB45673	0.248459774
Honey bees	GB45673	Insecta	INS005463	2	Bimp10042	0.332125012
Bumblebees	Bimp04195	Insecta	INS005467	2	GB48457	0.097630186
Honey bees	GB48457	Insecta	INS005467	2	Bimp04195	-0.286162117
Bumblebees	Bimp12866	Insecta	INS005473	2	GB52948	0.931832207
Honey bees	GB52948	Insecta	INS005473	2	Bimp12866	-0.557415368
Bumblebees	Bimp08555	Insecta	INS005474	2	GB50955	1.884213859
Honey bees	GB50955	Insecta	INS005474	2	Bimp08555	1.009364556
Bumblebees	Bimp08751	Insecta	INS005475	2	GB48469	0.259385643
Honey bees	GB48469	Insecta	INS005475	2	Bimp08751	-0.164386517
Bumblebees	Bimp12875	Insecta	INS005478	2	GB48623	0.104829662
Honey bees	GB48623	Insecta	INS005478	2	Bimp12875	1.764243623
Bumblebees	Bimp08819	Insecta	INS005479	2	GB51762	0.402526594
Honey bees	GB51762	Insecta	INS005479	2	Bimp08819	0.238249048
Bumblebees	Bimp03352	Insecta	INS005492	2	GB47105	1.200357385
Honey bees	GB47105	Insecta	INS005492	2	Bimp03352	-0.05133482
Bumblebees	Bimp09709	Insecta	INS005500	2	GB48030	0.183116102
Honey bees	GB48030	Insecta	INS005500	2	Bimp09709	-0.561317426
Bumblebees	Bimp05300	Insecta	INS005502	2	GB40480	0.880295399
Honey bees	GB40480	Insecta	INS005502	2	Bimp05300	-0.366852085
Bumblebees	Bimp01408	Insecta	INS005503	2	GB42650	0.508443028
Honey bees	GB42650	Insecta	INS005503	2	Bimp01408	0.070898296
Bumblebees	Bimp06254	Insecta	INS005506	2	GB41455	-0.06842198
Honey bees	GB41455	Insecta	INS005506	2	Bimp06254	0.426996537
Bumblebees	Bimp06213	Insecta	INS005515	2	GB41773	1.655369234
Honey bees	GB41773	Insecta	INS005515	2	Bimp06213	0.178926493
Bumblebees	Bimp12867	Insecta	INS005521	2	GB52953	0.17886318
Honey bees	GB52953	Insecta	INS005521	2	Bimp12867	0.399043052
Bumblebees	Bimp00153	Insecta	INS005522	2	GB55665	0.456473562
Honey bees	GB55665	Insecta	INS005522	2	Bimp00153	1.236543873
Bumblebees	Bimp03716	Insecta	INS005526	2	GB45297	2.126542353
Honey bees	GB45297	Insecta	INS005526	2	Bimp03716	-0.088657337
Bumblebees	Bimp08747	Insecta	INS005534	2	GB48467	1.217930056
Honey bees	GB48467	Insecta	INS005534	2	Bimp08747	0.573725745
Bumblebees	Bimp06820	Insecta	INS005538	2	GB49124	1.020583126
Honey bees	GB49124	Insecta	INS005538	2	Bimp06820	0.201167263
Bumblebees	Bimp10034	Insecta	INS005541	2	GB45667	0.619866426
Honey bees	GB45667	Insecta	INS005541	2	Bimp10034	1.021215386
Bumblebees	Bimp05327	Insecta	INS005542	2	GB40453	0.368939726
Honey bees	GB40453	Insecta	INS005542	2	Bimp05327	-0.485561654
Bumblebees	Bimp05769	Insecta	INS005551	2	GB54953	-0.249681818
Honey bees	GB54953	Insecta	INS005551	2	Bimp05769	-0.05134601
Bumblebees	Bimp06050	Insecta	INS005557	2	GB55517	1.098199656
Honey bees	GB55517	Insecta	INS005557	2	Bimp06050	-0.060476495
Bumblebees	Bimp13388	Insecta	INS005559	2	GB48661	1.995718679
Honey bees	GB48661	Insecta	INS005559	2	Bimp13388	1.272470006
Bumblebees	Bimp07137	Insecta	INS005560	2	GB52325	-0.214306623
Honey bees	GB52325	Insecta	INS005560	2	Bimp07137	2.009691678
Bumblebees	Bimp10682	Insecta	INS005561	2	GB49466	-0.035362036
Honey bees	GB49466	Insecta	INS005561	2	Bimp10682	0.41551457
Bumblebees	Bimp12868	Insecta	INS005562	2	GB52955	0.08077964
Honey bees	GB52955	Insecta	INS005562	2	Bimp12868	0.749416508
Bumblebees	Bimp12628	Insecta	INS005565	2	GB54986	0.300471564
Honey bees	GB54986	Insecta	INS005565	2	Bimp12628	-0.32704971
Bumblebees	Bimp07813	Insecta	INS005567	2	GB44759	0.316364747
Honey bees	GB44759	Insecta	INS005567	2	Bimp07813	-0.399460273
Bumblebees	Bimp03136	Insecta	INS005569	2	GB51790	0.215955011
Honey bees	GB51790	Insecta	INS005569	2	Bimp03136	-0.014406875
Bumblebees	Bimp06965	Insecta	INS005571	2	GB51361	0.795599935
Honey bees	GB51361	Insecta	INS005571	2	Bimp06965	0.285305554
Bumblebees	Bimp12604	Insecta	INS005576	2	GB45218	-0.141413418
Honey bees	GB45218	Insecta	INS005576	2	Bimp12604	-0.134654293
Bumblebees	Bimp07395	Insecta	INS005581	2	GB41465	-0.506943564
Honey bees	GB41465	Insecta	INS005581	2	Bimp07395	-0.254216976
Bumblebees	Bimp05794	Insecta	INS005582	2	GB48951	0.446809482
Honey bees	GB48951	Insecta	INS005582	2	Bimp05794	-0.434406494
Bumblebees	Bimp10139	Insecta	INS005586	2	GB47847	0.93961706
Honey bees	GB47847	Insecta	INS005586	2	Bimp10139	0.486075633
Bumblebees	Bimp07114	Insecta	INS005590	2	GB45071	0.256285805
Honey bees	GB45071	Insecta	INS005590	2	Bimp07114	-0.712148949
Bumblebees	Bimp10615	Insecta	INS005591	2	GB47687	0.579905127
Honey bees	GB47687	Insecta	INS005591	2	Bimp10615	-0.189765678
Bumblebees	Bimp03704	Insecta	INS005593	2	GB43171	0.896717636
Honey bees	GB43171	Insecta	INS005593	2	Bimp03704	0.041674349
Honey bees	GB43984	Insecta	INS005594	2	NA	0.127589793
Honey bees	GB50493	Insecta	INS005594	2	NA	-0.474109195
Bumblebees	Bimp13068	Insecta	INS005600	2	GB48483	1.076089131
Honey bees	GB48483	Insecta	INS005600	2	Bimp13068	0.269446286
Bumblebees	Bimp12672	Insecta	INS005602	2	GB41340	0.272722099
Honey bees	GB41340	Insecta	INS005602	2	Bimp12672	-0.50574323
Bumblebees	Bimp09814	Insecta	INS005605	2	GB55537	0.126801088
Honey bees	GB55537	Insecta	INS005605	2	Bimp09814	0.639499314
Bumblebees	Bimp04678	Hymenoptera	INS005606	2	GB42618	-0.265141026
Honey bees	GB42618	Hymenoptera	INS005606	2	Bimp04678	3.210203126
Bumblebees	Bimp07100	Hymenoptera	INS005608	2	GB52193	0.229004755
Honey bees	GB52193	Hymenoptera	INS005608	2	Bimp07100	0.213286891
Bumblebees	Bimp04953	Insecta	INS005614	2	GB48352	-0.022713001
Honey bees	GB48352	Insecta	INS005614	2	Bimp04953	-0.319717952
Bumblebees	Bimp01232	Insecta	INS005629	2	GB52988	0.852307589
Honey bees	GB52988	Insecta	INS005629	2	Bimp01232	-0.374501293
Bumblebees	Bimp05290	Insecta	INS005633	2	GB40415	0.472438945
Honey bees	GB40415	Insecta	INS005633	2	Bimp05290	0.344068836
Honey bees	GB46651	Insecta	INS005634	2	Bimp02917	0.021945684
Honey bees	GB46650	Insecta	INS005634	2	Bimp02917	-0.349099991
Bumblebees	Bimp05243	Insecta	INS005638	2	GB43906	0.462966515
Honey bees	GB43906	Insecta	INS005638	2	Bimp05243	-0.674574451
Bumblebees	Bimp05897	Insecta	INS005639	2	GB47942	0.543007935
Honey bees	GB47942	Insecta	INS005639	2	Bimp05897	2.192556657
Bumblebees	Bimp09695	Insecta	INS005642	2	GB51725	0.142859169
Honey bees	GB51725	Insecta	INS005642	2	Bimp09695	-0.231848784
Bumblebees	Bimp14067	Insecta	INS005646	2	GB50409	0.398956151
Honey bees	GB50409	Insecta	INS005646	2	Bimp14067	0.245086933
Bumblebees	Bimp03769	Insecta	INS005647	2	GB44898	0.709061934
Honey bees	GB44898	Insecta	INS005647	2	Bimp03769	-0.610434273
Bumblebees	Bimp01947	Insecta	INS005648	2	GB55704	0.796692675
Honey bees	GB55704	Insecta	INS005648	2	Bimp01947	-0.181524246
Bumblebees	Bimp07473	Insecta	INS005650	2	GB44414	0.402229531
Honey bees	GB44414	Insecta	INS005650	2	Bimp07473	-1.03663552
Bumblebees	Bimp04863	Insecta	INS005651	2	GB42664	1.026961738
Honey bees	GB42664	Insecta	INS005651	2	Bimp04863	-0.026939243
Bumblebees	Bimp04156	Insecta	INS005659	2	GB54590	0.601397773
Honey bees	GB54590	Insecta	INS005659	2	Bimp04156	-0.752838225
Bumblebees	Bimp14227	Insecta	INS005665	2	GB47041	0.528428411
Honey bees	GB47041	Insecta	INS005665	2	Bimp14227	-0.161455263
Bumblebees	Bimp00978	Insecta	INS005667	2	GB53654	0.200444763
Honey bees	GB53654	Insecta	INS005667	2	Bimp00978	-0.607705648
Bumblebees	Bimp09677	Insecta	INS005669	2	GB47188	0.334970715
Honey bees	GB47188	Insecta	INS005669	2	Bimp09677	-0.574719339
Bumblebees	Bimp11675	Insecta	INS005671	2	GB43782	1.394374339
Honey bees	GB43782	Insecta	INS005671	2	Bimp11675	0.161476712
Bumblebees	Bimp00495	Insecta	INS005672	2	GB46024	1.527857955
Honey bees	GB46024	Insecta	INS005672	2	Bimp00495	-0.117101348
Bumblebees	Bimp14111	Insecta	INS005675	2	GB55307	1.582961756
Honey bees	GB55307	Insecta	INS005675	2	Bimp14111	0.816943049
Bumblebees	Bimp02375	Insecta	INS005681	2	GB40980	-0.302831748
Honey bees	GB40980	Insecta	INS005681	2	Bimp02375	0.252876607
Bumblebees	Bimp02642	Insecta	INS005683	2	GB50249	0.884880004
Honey bees	GB50249	Insecta	INS005683	2	Bimp02642	2.101864757
Bumblebees	Bimp01615	Insecta	INS005688	2	GB50841	0.752013332
Honey bees	GB50841	Insecta	INS005688	2	Bimp01615	-0.739315666
Bumblebees	Bimp12396	Insecta	INS005689	2	GB44099	-0.550145005
Honey bees	GB44099	Insecta	INS005689	2	Bimp12396	0.60907926
Bumblebees	Bimp11766	Insecta	INS005693	2	GB44396	0.335499361
Honey bees	GB44396	Insecta	INS005693	2	Bimp11766	-0.269616152
Bumblebees	Bimp09988	Insecta	INS005696	2	GB51967	0.295941286
Honey bees	GB51967	Insecta	INS005696	2	Bimp09988	-0.319864826
Bumblebees	Bimp02284	Insecta	INS005699	2	GB46907	1.652647077
Honey bees	GB46907	Insecta	INS005699	2	Bimp02284	-0.446847154
Bumblebees	Bimp01340	Insecta	INS005703	2	GB40818	0.456972705
Honey bees	GB40818	Insecta	INS005703	2	Bimp01340	-0.350353599
Bumblebees	Bimp11790	Insecta	INS005710	2	GB47306	0.387333991
Honey bees	GB47306	Insecta	INS005710	2	Bimp11790	-0.505021702
Bumblebees	Bimp13945	Insecta	INS005711	2	GB55594	-0.068068739
Honey bees	GB55594	Insecta	INS005711	2	Bimp13945	-0.348960246
Bumblebees	Bimp01008	Insecta	INS005718	2	GB51221	0.660727072
Honey bees	GB51221	Insecta	INS005718	2	Bimp01008	0.548971565
Bumblebees	Bimp03919	Insecta	INS005721	2	GB44271	0.095376151
Honey bees	GB44271	Insecta	INS005721	2	Bimp03919	-0.642965245
Bumblebees	Bimp13197	Insecta	INS005733	2	GB55546	0.144994274
Honey bees	GB55546	Insecta	INS005733	2	Bimp13197	0.884440298
Bumblebees	Bimp01366	Insecta	INS005736	2	GB45343	0.322610828
Honey bees	GB45343	Insecta	INS005736	2	Bimp01366	-0.140878081
Bumblebees	Bimp04224	Insecta	INS005738	2	GB48347	-0.385177579
Honey bees	GB48347	Insecta	INS005738	2	Bimp04224	0.059819243
Bumblebees	Bimp06590	Insecta	INS005739	2	GB55453	0.773738854
Honey bees	GB55453	Insecta	INS005739	2	Bimp06590	-0.045798402
Bumblebees	Bimp04928	Hymenoptera	INS005740	2	GB51163	0.516474899
Honey bees	GB51163	Hymenoptera	INS005740	2	Bimp04928	0.469732613
Bumblebees	Bimp03608	Insecta	INS005747	2	GB44371	0.37418284
Honey bees	GB44371	Insecta	INS005747	2	Bimp03608	-0.40656026
Bumblebees	Bimp01117	Insecta	INS005751	2	GB50772	-0.535483499
Honey bees	GB50772	Insecta	INS005751	2	Bimp01117	0.274602016
Bumblebees	Bimp04724	Insecta	INS005752	2	GB42771	1.024598007
Honey bees	GB42771	Insecta	INS005752	2	Bimp04724	-0.501388766
Bumblebees	Bimp12764	Hymenoptera	INS005755	2	GB55611	0.90360167
Honey bees	GB55611	Hymenoptera	INS005755	2	Bimp12764	2.568563107
Bumblebees	Bimp04002	Insecta	INS005756	2	GB51418	0.339723005
Honey bees	GB51418	Insecta	INS005756	2	Bimp04002	-0.219298693
Bumblebees	Bimp04277	Insecta	INS005758	2	GB49930	1.545635786
Honey bees	GB49930	Insecta	INS005758	2	Bimp04277	-0.020543137
Bumblebees	Bimp07583	Insecta	INS005763	2	GB44486	-0.353332649
Honey bees	GB44486	Insecta	INS005763	2	Bimp07583	0.131278392
Bumblebees	Bimp08428	Insecta	INS005764	2	GB49589	0.795410457
Honey bees	GB49589	Insecta	INS005764	2	Bimp08428	0.206038992
Bumblebees	Bimp12722	Insecta	INS005766	2	GB45213	0.989371239
Honey bees	GB45213	Insecta	INS005766	2	Bimp12722	0.900458707
Bumblebees	Bimp09974	Insecta	INS005768	2	GB54650	0.442575877
Honey bees	GB54650	Insecta	INS005768	2	Bimp09974	-0.014620111
Bumblebees	Bimp07238	Insecta	INS005771	2	GB48911	0.437157966
Honey bees	GB48911	Insecta	INS005771	2	Bimp07238	0.739211258
Bumblebees	Bimp02809	Insecta	INS005774	2	GB43004	0.210489101
Honey bees	GB43004	Insecta	INS005774	2	Bimp02809	0.270577661
Bumblebees	Bimp13886	Insecta	INS005775	2	GB52247	-0.409305827
Honey bees	GB52247	Insecta	INS005775	2	Bimp13886	0.16227148
Bumblebees	Bimp14034	Apoidea	INS005778	2	GB52831	1.13358154
Honey bees	GB52831	Apoidea	INS005778	2	Bimp14034	0.082620422
Bumblebees	Bimp06381	Insecta	INS005781	2	GB44943	-0.320736131
Honey bees	GB44943	Insecta	INS005781	2	Bimp06381	-0.095714766
Bumblebees	Bimp09976	Insecta	INS005783	2	GB54649	-0.213267577
Honey bees	GB54649	Insecta	INS005783	2	Bimp09976	-0.372092629
Bumblebees	Bimp02740	Insecta	INS005785	2	GB50021	0.819277582
Honey bees	GB50021	Insecta	INS005785	2	Bimp02740	-0.05189513
Bumblebees	Bimp01779	Insecta	INS005789	2	GB51818	1.343253283
Honey bees	GB51818	Insecta	INS005789	2	Bimp01779	0.670567208
Bumblebees	Bimp11667	Insecta	INS005790	2	GB46061	1.211444112
Honey bees	GB46061	Insecta	INS005790	2	Bimp11667	-0.423179015
Bumblebees	Bimp03337	Insecta	INS005791	2	GB51954	-0.059780942
Honey bees	GB51954	Insecta	INS005791	2	Bimp03337	-0.002812187
Bumblebees	Bimp02408	Insecta	INS005793	2	GB44119	0.596019687
Honey bees	GB44119	Insecta	INS005793	2	Bimp02408	0.40873087
Bumblebees	Bimp00752	Insecta	INS005794	2	GB54101	0.027888642
Honey bees	GB54101	Insecta	INS005794	2	Bimp00752	0.860516499
Bumblebees	Bimp08685	Insecta	INS005797	2	GB42297	0.565004814
Honey bees	GB42297	Insecta	INS005797	2	Bimp08685	-0.512996523
Bumblebees	Bimp00530	Insecta	INS005812	2	GB43789	2.634058391
Honey bees	GB43789	Insecta	INS005812	2	Bimp00530	0.326828547
Bumblebees	Bimp05467	Insecta	INS005820	2	GB47566	-0.311601797
Honey bees	GB47566	Insecta	INS005820	2	Bimp05467	-0.039081932
Bumblebees	Bimp12093	Insecta	INS005823	2	GB55187	0.676102235
Honey bees	GB55187	Insecta	INS005823	2	Bimp12093	0.970292816
Bumblebees	Bimp00265	Insecta	INS005826	2	GB48122	0.233405129
Honey bees	GB48122	Insecta	INS005826	2	Bimp00265	-0.299214864
Bumblebees	Bimp08419	Insecta	INS005828	2	GB49533	-0.010128315
Honey bees	GB49533	Insecta	INS005828	2	Bimp08419	0.060771025
Bumblebees	Bimp02782	Insecta	INS005831	2	GB50045	0.7963759
Honey bees	GB50045	Insecta	INS005831	2	Bimp02782	2.813885652
Bumblebees	Bimp14092	Insecta	INS005833	2	GB53411	0.097453093
Honey bees	GB53411	Insecta	INS005833	2	Bimp14092	-0.519584252
Bumblebees	Bimp13093	Insecta	INS005838	2	GB44526	0.126412467
Honey bees	GB44526	Insecta	INS005838	2	Bimp13093	-0.281327801
Bumblebees	Bimp02358	Insecta	INS005841	2	GB40946	0.367617871
Honey bees	GB40946	Insecta	INS005841	2	Bimp02358	-0.054588736
Bumblebees	Bimp11744	Insecta	INS005842	2	GB48539	0.823104129
Honey bees	GB48539	Insecta	INS005842	2	Bimp11744	0.007502278
Bumblebees	Bimp10872	Insecta	INS005845	2	GB41422	0.534437595
Honey bees	GB41422	Insecta	INS005845	2	Bimp10872	-0.471336804
Bumblebees	Bimp02248	Insecta	INS005846	2	GB46929	0.326809118
Honey bees	GB46929	Insecta	INS005846	2	Bimp02248	-0.23734628
Bumblebees	Bimp04474	Insecta	INS005847	2	GB44073	1.369461411
Honey bees	GB44073	Insecta	INS005847	2	Bimp04474	0.114103344
Bumblebees	Bimp03189	Insecta	INS005848	2	GB55074	-0.320911544
Honey bees	GB55074	Insecta	INS005848	2	Bimp03189	-0.338859041
Bumblebees	Bimp12671	Insecta	INS005854	2	GB41342	0.348901821
Honey bees	GB41342	Insecta	INS005854	2	Bimp12671	1.524099311
Bumblebees	Bimp13137	Insecta	INS005856	2	GB47944	0.204330425
Honey bees	GB47944	Insecta	INS005856	2	Bimp13137	0.247426799
Bumblebees	Bimp00960	Insecta	INS005858	2	GB53665	1.584160026
Honey bees	GB53665	Insecta	INS005858	2	Bimp00960	0.043801974
Bumblebees	Bimp04561	Insecta	INS005860	2	GB55112	0.095376347
Honey bees	GB55112	Insecta	INS005860	2	Bimp04561	0.059592513
Bumblebees	Bimp05891	Insecta	INS005861	2	GB49242	1.097781162
Honey bees	GB49242	Insecta	INS005861	2	Bimp05891	0.876277785
Bumblebees	Bimp01812	Insecta	INS005864	2	GB47018	0.545192284
Honey bees	GB47018	Insecta	INS005864	2	Bimp01812	0.871064853
Bumblebees	Bimp00839	Hymenoptera	INS005866	2	GB41950	1.070044444
Honey bees	GB41950	Hymenoptera	INS005866	2	Bimp00839	1.317426633
Bumblebees	Bimp11902	Insecta	INS005867	2	GB45152	0.594677928
Honey bees	GB45152	Insecta	INS005867	2	Bimp11902	0.47506226
Bumblebees	Bimp08244	Insecta	INS005868	2	GB47417	0.362617372
Honey bees	GB47417	Insecta	INS005868	2	Bimp08244	-0.126551193
Bumblebees	Bimp07039	Insecta	INS005869	2	GB40704	0.617360334
Honey bees	GB40704	Insecta	INS005869	2	Bimp07039	0.099866899
Bumblebees	Bimp07930	Insecta	INS005874	2	GB41768	1.113932482
Honey bees	GB41768	Insecta	INS005874	2	Bimp07930	-0.082221189
Bumblebees	Bimp05229	Insecta	INS005878	2	GB41164	0.503229195
Honey bees	GB41164	Insecta	INS005878	2	Bimp05229	-0.190286623
Bumblebees	Bimp13679	Insecta	INS005881	2	GB41204	1.904270429
Honey bees	GB41204	Insecta	INS005881	2	Bimp13679	-0.316463673
Bumblebees	Bimp03850	Insecta	INS005882	2	GB54918	-0.223665702
Honey bees	GB54918	Insecta	INS005882	2	Bimp03850	0.240284984
Bumblebees	Bimp01319	Insecta	INS005884	2	GB45366	0.436719618
Honey bees	GB45366	Insecta	INS005884	2	Bimp01319	0.260456464
Bumblebees	Bimp05719	Insecta	INS005885	2	GB52427	0.464323306
Honey bees	GB52427	Insecta	INS005885	2	Bimp05719	1.303454064
Bumblebees	Bimp04819	Insecta	INS005886	2	GB51432	0.921164188
Honey bees	GB51432	Insecta	INS005886	2	Bimp04819	-0.246081243
Bumblebees	Bimp07154	Insecta	INS005887	2	GB53582	0.364358312
Honey bees	GB53582	Insecta	INS005887	2	Bimp07154	-0.227752485
Bumblebees	Bimp04979	Insecta	INS005895	2	GB54264	0.47799471
